Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Amp_1 count	Amp_2 count	Amp_3 count	Amp_4 count	Amp_5 count	Amp_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Amp_1 normalised count	Amp_2 normalised count	Amp_3 normalised count	Amp_4 normalised count	Amp_5 normalised count	Amp_6 normalised count
ENSDARG00000069381	3.925610121329162e-6	7.30903556606491e-4	-1.9399491162427602	9	33061564	33063083	-1	protein_coding	si:ch211-125e6.5	si:ch211-125e6.5 [Source:ZFIN;Acc:ZDB-GENE-070912-39]	55	104	79	55	48	14	15	8	13	39	8	60.6152704043126	97.8668460395623	65.79404620260178	55.23747504218272	44.095092566832136	12.868270314682807	14.890278726479696	7.644798120611696	15.033038717498743	41.21688708325845	9.672309452012597
ENSDARG00000105643	3.997011121509531e-6	7.381472164641383e-4	0.5551322928722094	7	28648706	28658143	-1	protein_coding	adgrg1	adhesion G protein-coupled receptor G1 [Source:ZFIN;Acc:ZDB-GENE-030131-3671]	68	86	115	101	81	139	133	138	98	120	101	74.94251613624103	80.9283534557919	95.77614320631903	101.43609053200828	74.41046870652923	127.76354098149359	132.0271380414533	131.87276758055177	113.32598417806744	126.82119102541061	122.11290683165903
ENSDARG00000088589	4.173670194189374e-6	7.645557940404164e-4	0.9898803592365639	7	22675475	22677211	1	protein_coding	ponzr3	plac8 onzin related protein 3 [Source:ZFIN;Acc:ZDB-GENE-050506-38]	69	32	91	49	50	83	87	114	98	118	126	76.04461196177398	30.112875704480707	75.78807853717419	49.21156867394461	45.93238809045015	76.29045972276236	86.36361661358224	108.93837321871668	113.32598417806744	124.70750450832044	152.3388738691984
ENSDARG00000099954	4.345447604390373e-6	7.896547386698187e-4	0.27410661659776464	12	4920451	4963153	1	protein_coding	plekhm1	pleckstrin homology domain containing, family M (with RUN domain) member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2752]	358	451	581	429	459	595	519	546	483	477	403	394.5503055407984	424.403341960025	483.8777321988814	430.8523053290253	421.6593226703323	546.9014883740193	515.2036439361975	521.7574717317483	558.535207734761	504.1142343260072	487.24258864513456
ENSDARG00000090833	5.193633594505396e-6	9.362967230094449e-4	0.5442060268193019	23	36601984	36605837	1	protein_coding	igfbp6b	insulin-like growth factor binding protein 6b [Source:ZFIN;Acc:ZDB-GENE-090521-2]	91	102	117	112	130	166	170	153	106	135	155	100.29072012349903	95.98479130803226	97.441815262081107	112.48358554044482	119.42420903517038	152.58091944552473	168.75649223343655	146.2067640566987	122.57708492729743	142.67383990358695	187.40099563274407
ENSDARG00000038643	5.527862342576985e-6	9.887038827687891e-4	0.5728704436905353	8	21353878	21369028	1	protein_coding	alas2	aminolevulinate, delta-, synthase 2 [Source:NCBI gene;Acc:64607]	343	213	361	269	269	385	371	537	304	422	377	378.01886815780404	200.43882890794973	300.6538060650537	270.1614688426755	247.11624792662178	353.8774336537772	368.2862271682645	513.1570738460601	351.5418284707398	445.9878551060273	455.80758292609363
ENSDARG00000117266	5.62426730937401e-6	9.980877494721145e-4	-1.044633739823566	12	46071521	46083500	-1	lincRNA	FO904966.1	NA	54	87	97	108	105	34	29	26	49	51	46	59.51317457877964	81.86938082155693	80.7850947044604	108.46631462828609	96.4580149899453	31.25151362137253	28.78787220452741	24.845593891988013	56.66299208903372	53.899006185799514	55.61577934907243
ENSDARG00000096031	6.038705511812107e-6	0.0010585648371861968	0.4618651174771667	1	49245229	49250490	-1	protein_coding	si:ch73-6k14.2	si:ch73-6k14.2 [Source:ZFIN;Acc:ZDB-GENE-110914-243]	92	112	123	114	116	158	146	155	133	135	117	101.39281594903198	105.39506496568248	102.43883142936731	114.4922209965242	106.56314036984433	145.22762212284883	144.93204627106903	148.11796358685163	153.79954995594866	142.67383990358695	141.45752573568421
ENSDARG00000020298	6.058262330363442e-6	0.0010585648371861968	-0.42604468226236053	22	336256	339623	1	protein_coding	btg2	B-cell translocation gene 2 [Source:ZFIN;Acc:ZDB-GENE-000210-15]	1014	1357	1391	1127	1349	780	792	1199	732	876	720	1117.5251670904177	1276.974135343135	1158.4749147825198	1131.866079500726	1239.2558306803448	716.9464889608993	786.206716758128	1145.764118326678	846.4757185545445	925.7946944854975	870.5078506811337
ENSDARG00000098375	6.4132682812299225e-6	0.0011120411374667	0.2292503551159984	14	16151368	16212896	1	protein_coding	polr1a	RNA polymerase I subunit A [Source:ZFIN;Acc:ZDB-GENE-030131-5286]	530	627	723	612	675	729	701	763	624	693	570	584.1107875324668	590.0241583346689	602.1404481579883	614.6424495602878	620.087239221077	670.0692185288405	695.8723591508178	729.1226207533406	721.5858584399397	732.3923781717463	689.1520484558976
ENSDARG00000017251	6.863019492459489e-6	0.0011760946259384611	2.0999234881501954	10	39314578	39321367	-1	protein_coding	smtlb	somatolactin beta [Source:ZFIN;Acc:ZDB-GENE-060123-1]	3	3	3	3	4	24	8	14	14	6	10	3.306287476598869	2.8230820972950665	2.498508083643105	3.0129531841190578	3.6745910472360115	22.05989196802767	7.9414819874558376	13.378396711070469	16.18942631115249	6.341059551270531	12.090386815015746
ENSDARG00000034852	6.88622431212042e-6	0.0011760946259384611	0.43280765281769784	10	17460358	17484764	-1	protein_coding	nt5c2l1	5'-nucleotidase, cytosolic II, like 1 [Source:ZFIN;Acc:ZDB-GENE-031006-8]	200	191	261	226	190	278	275	321	233	234	246	220.41916510659127	179.73622686111923	217.37020327695015	226.97580653696903	174.54307474371055	255.52708196298718	272.9884433187944	306.7475245895443	269.43830932132363	247.3013224995507	297.42351564938735
ENSDARG00000092044	6.961531052104562e-6	0.0011800834167802622	-0.8329464546140735	21	30651064	30658520	-1	protein_coding	si:dkey-22f5.9	si:dkey-22f5.9 [Source:ZFIN;Acc:ZDB-GENE-091204-260]	125	95	95	105	127	40	56	66	40	60	76	137.76197819161953	89.3975997476771	79.11942264869833	105.45336144416702	116.66826574974337	36.76648661337945	55.59037391219086	63.0695844950465	46.25550374614998	63.41059551270531	91.88693979411967
ENSDARG00000030616	7.261359807605764e-6	0.0012217910224427034	0.3087104160134525	3	24072720	24093144	-1	protein_coding	nfe2l1a	nuclear factor, erythroid 2-like 1a [Source:ZFIN;Acc:ZDB-GENE-040630-5]	753	907	1068	1026	940	1177	1128	1124	917	1042	996	829.8781566263161	853.511820748875	889.4688777769454	1030.4299889687177	863.5288961004627	1081.8538685986903	1119.748960231273	1074.0941359459434	1060.4074233804881	1101.230675403982	1204.2025267755682
ENSDARG00000100515	7.599307431205491e-6	0.0012692519727928878	-0.4668383960923955	14	15760253	15763648	-1	protein_coding	dusp1	dual specificity phosphatase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2018]	1006	1006	1280	1042	1189	761	722	771	688	733	700	1108.708400486154	946.6735299596122	1066.030115687725	1046.4990726173528	1092.2721887909045	699.482407819544	716.7187493678894	736.7674188739522	795.5946644337796	774.6661085135498	846.3270770511023
ENSDARG00000105590	9.218897207070398e-6	0.0015214002139629873	0.4384974958141042	7	2021025	2047639	-1	protein_coding	si:cabz01007794.1	si:cabz01007794.1 [Source:ZFIN;Acc:ZDB-GENE-160728-147]	941	871	1572	999	1092	1404	1506	1408	1190	1557	1044	1037.072171826512	819.6348355813343	1309.2182358289872	1003.3134103116462	1003.1633558954311	1290.5036801296187	1494.9839841385615	1345.4844692276586	1376.1012364479618	1645.5049535547028	1262.236383487644
ENSDARG00000109240	9.242933283156163e-6	0.0015214002139629873	-1.967659700993125	KN150297.1	87	5872	-1	protein_coding	CABZ01067080.1	interferon-induced very large GTPase 1-like [Source:NCBI gene;Acc:101883914]	12	54	36	73	14	6	1	8	10	15	12	13.225149906395476	50.81547775131119	29.982097003717264	73.31519414689707	12.86106866532604	5.514972992006918	0.9926852484319797	7.644798120611696	11.563875936537494	15.852648878176327	14.508464178018896
ENSDARG00000054848	1.008263105720737e-5	0.001647676003341478	0.4407488728186635	19	41190258	41213718	-1	protein_coding	pdk4	pyruvate dehydrogenase kinase, isozyme 4 [Source:ZFIN;Acc:ZDB-GENE-060503-754]	571	572	591	629	645	783	811	847	598	766	710	629.296716379318	538.2676532175926	492.20609247769175	631.7158509369624	592.5278063668069	719.7039754569028	805.0677364783355	809.3930010197633	691.5197810049422	809.5419360455378	858.4174638661179
ENSDARG00000057652	1.0549207186961367e-5	0.0017116088660844818	-0.3084108968270814	16	13599693	13613475	-1	protein_coding	dbpb	D site albumin promoter binding protein b [Source:ZFIN;Acc:ZDB-GENE-100922-6]	1279	1316	1856	1626	1424	1242	1123	1224	1024	1032	1005	1409.5805608566511	1238.392013346769	1545.743667747201	1633.0206257925292	1308.15441281602	1141.599409345432	1114.7855339891132	1169.6541124535895	1184.1408959014393	1090.6622428185312	1215.0838749090824
ENSDARG00000005332	1.0852821267611909e-5	0.0017483818091759186	-0.6230906374655244	24	24086249	24101132	1	protein_coding	lipib	lipase, member Ib [Source:ZFIN;Acc:ZDB-GENE-091118-47]	87	102	102	64	93	58	43	74	46	48	51	95.8823368213672	95.98479130803226	84.94927484386558	64.2763345945399	85.43424184823726	53.3114055894002	42.68546568257513	70.7143826156582	53.19382930807247	50.72847641016425	61.66097275658031
ENSDARG00000105731	1.1537916123014819e-5	0.0018456603150301522	-0.7315323798141071	4	72463842	72476526	-1	protein_coding	CR788316.1	verrucotoxin subunit beta-like [Source:NCBI gene;Acc:103908715]	1119	1740	1777	1646	1312	847	723	627	903	919	912	1233.2452287713782	1637.3876164311384	1479.9496215445993	1653.106980353323	1205.2658634934119	778.5303540383098	717.7114346163213	599.1610527029417	1044.2179970693358	971.2389546029364	1102.643277529436
ENSDARG00000103428	1.1762129607775145e-5	0.0018683690492350517	0.24856408564260962	10	45148005	45205893	1	protein_coding	ogdhb	oxoglutarate (alpha-ketoglutarate) dehydrogenase b (lipoamide) [Source:ZFIN;Acc:ZDB-GENE-090311-8]	902	1091	1264	1042	1209	1292	1255	1283	989	1327	1038	994.0904346307266	1026.660856049639	1052.7047392416284	1046.4990726173528	1110.6451440270844	1187.5575176121563	1245.8199867821345	1226.0344985931008	1143.667330123558	1402.4310040893324	1254.9821513986344
ENSDARG00000093750	1.2003408779028293e-5	0.0018934543778863031	-1.0569176797225628	5	54938634	54941004	1	protein_coding	cd180	CD180 molecule [Source:ZFIN;Acc:ZDB-GENE-070705-323]	27	34	54	46	28	11	23	16	17	15	17	29.75658728938982	31.99493043601075	44.97314550557589	46.19861548982555	25.72213733065208	10.110783818679348	22.831760713935534	15.289596241223393	19.65858909211374	15.852648878176327	20.553657585526768
ENSDARG00000093082	1.2385699514940353e-5	0.0019402838929784146	-2.3269012477184283	1	56595955	56596701	-1	protein_coding	LO018605.1	NA	6	22	6	19	11	0	4	2	3	2	3	6.612574953197738	20.70260204683049	4.99701616728621	19.08203683275403	10.105125379899032	0	3.9707409937279188	1.911199530152924	3.469162780961248	2.113686517090177	3.627116044504724
ENSDARG00000074508	1.299861722643632e-5	0.002022353358208911	-0.24610757661816546	11	11595973	11625630	-1	protein_coding	si:dkey-28e7.3	si:dkey-28e7.3 [Source:ZFIN;Acc:ZDB-GENE-141215-28]	877	997	1100	863	976	955	769	781	632	685	654	966.5380389924027	938.204283667727	916.1196306691386	866.726199298249	896.6002155255868	877.7998678944343	763.3749560441923	746.3234165247169	730.8369591891696	723.9376321033856	790.7112977020298
ENSDARG00000094965	1.3301415755246675e-5	0.002055385434560736	0.23339080462547887	6	8172227	8180042	1	protein_coding	nfil3-5	nuclear factor, interleukin 3 regulated, member 5 [Source:ZFIN;Acc:ZDB-GENE-030131-7677]	3262	3675	4319	3374	3814	4480	4274	4310	3718	3476	3555	3595.0365828885033	3458.2755691864563	3597.0188044181905	3388.5680144059	3503.722563539537	4117.846500698498	4242.736751798281	4118.6349874795515	4299.449073204641	3673.5871667027277	4298.132512738098
ENSDARG00000030472	1.3542638425959071e-5	0.002078520485443651	0.7284238264214117	12	26566422	26587231	-1	protein_coding	slc16a5a	solute carrier family 16 member 5a [Source:ZFIN;Acc:ZDB-GENE-121108-4]	34	52	43	48	43	67	80	78	50	70	57	37.47125806812051	48.93342301978115	35.811949198884506	48.207250945904924	39.501853757787124	61.58386507741058	79.41481987455838	74.53678167596404	57.81937968268747	73.97902809815619	68.91520484558976
ENSDARG00000054849	1.3700112079542398e-5	0.002088577489173192	-0.34495112867110855	3	29949984	29968055	-1	protein_coding	bcat2	branched chain amino-acid transaminase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040718-425]	844	1305	1189	913	1118	925	772	803	606	841	694	930.1688767498151	1228.0407123233538	990.2420371505507	916.9420857002333	1027.0481977024651	850.2250029343998	766.3530117894884	767.3466113563991	700.7708817541721	888.8051804364194	839.0728449620927
ENSDARG00000016391	1.4328142864612067e-5	0.0021697584344644205	0.293208512824213	11	2111582	2131280	-1	protein_coding	calcoco1b	calcium binding and coiled-coil domain 1b [Source:ZFIN;Acc:ZDB-GENE-031118-126]	762	1150	1177	1078	1103	1290	1257	1393	1031	1165	962	839.7970190561127	1082.1814706297755	980.2480048159783	1082.6545108267815	1013.2684812753301	1185.7191932814872	1247.8053572789986	1331.1504727515116	1192.2356090570156	1231.222396205028	1163.0952116045148
ENSDARG00000040076	1.5734206104090692e-5	0.0023669039182411923	-0.40962010322065023	16	41984032	41990421	-1	protein_coding	pycard	PYD and CARD domain containing [Source:NCBI gene;Acc:57923]	394	491	645	511	481	372	309	317	349	386	332	434.2257552599848	462.0444365906259	537.1792379832676	513.2063590282795	441.8695734301304	341.92832550442887	306.7397417654817	302.92512552923847	403.5792701851585	407.94149779840416	401.40084225852274
ENSDARG00000091757	1.7312190728531824e-5	0.002587147449990792	-0.3947395613445855	20	35568552	35578435	-1	protein_coding	adgrf6	adhesion G protein-coupled receptor F6 [Source:ZFIN;Acc:ZDB-GENE-041001-212]	541	649	831	728	630	474	514	403	439	531	442	596.2338416133293	610.7267603814994	692.0867391691402	731.1433060128913	578.7480899396718	435.68286636854646	510.2402176940376	385.10670532581423	507.65415361399596	561.183770287442	534.395097223696
ENSDARG00000010602	1.8715170937555915e-5	0.002778530116644331	-0.5805545241341739	5	11407504	11414648	1	protein_coding	zgc:112294	zgc:112294 [Source:NCBI gene;Acc:553704]	64	74	91	71	87	58	50	41	44	44	47	70.5341328341092	69.63602506661164	75.78807853717419	71.3065586908177	79.92235527738325	53.3114055894002	49.63426242159898	39.179590368134946	50.88105412076497	46.501103375983895	56.82481803057401
ENSDARG00000052170	1.9482153389330616e-5	0.002873617624926266	-0.4104526940257014	6	35033457	35052388	-1	protein_coding	uap1	UDP-N-acetylglucosamine pyrophosphorylase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1233]	228	373	408	343	323	227	239	236	226	255	192	251.27784822151403	351.00320743035326	339.7970993754623	344.4809807176123	296.72322706430793	208.64981153092836	237.25177437524314	225.52154455804504	261.3435961657474	269.49503092899755	232.13542684830233
ENSDARG00000076945	1.9723095970908962e-5	0.002890387903091594	0.5322303127050471	20	7327627	7350653	1	processed_transcript	dsg2.1	desmoglein 2, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7531]	781	1076	1475	1196	893	1557	1383	1512	1409	1562	1129	860.7368397412389	1012.5454455631639	1228.4331411245269	1201.1640027354645	820.3524512954396	1431.135491425795	1372.883698581428	1444.8668447956106	1629.350119458133	1650.7891698474282	1365.0046714152777
ENSDARG00000020239	2.1488728435453678e-5	0.003128951707764938	0.2502708521293255	17	30442518	30470271	1	protein_coding	lpin1	lipin 1 [Source:ZFIN;Acc:ZDB-GENE-080722-2]	5792	7515	9086	7391	7472	9608	8104	8904	7499	8206	6345	6383.339021486883	7071.820653724141	7567.148149327085	7422.912327941319	6864.1360762368695	8831.310084533743	8044.721253292763	8508.660308240818	8671.750564809467	8672.455779620996	7671.350434127491
ENSDARG00000069006	2.170630912794406e-5	0.0031405019862499957	-0.19277791333022404	7	33644434	33684632	-1	protein_coding	tle3b	TLE family member 3, transcriptional corepressor b [Source:NCBI gene;Acc:100007463]	988	1174	1252	1059	1171	1067	983	972	825	832	761	1088.8706756265608	1104.766127408136	1042.710706907056	1063.5724739940274	1075.7365290783423	980.7460304118968	975.8095992086361	928.8429716543211	954.0197647643432	879.2935911095136	920.0784366226983
ENSDARG00000079059	2.321418661743745e-5	0.003337406639336023	0.7356081352395495	2	31781843	31800521	-1	protein_coding	retreg1	reticulophagy regulator 1 [Source:ZFIN;Acc:ZDB-GENE-130221-1]	136	196	186	198	225	332	314	325	198	319	243	149.88503227248205	184.44136368994432	154.90750118587252	198.8549101518578	206.69574640702564	305.16183889104946	311.70316800764164	310.5699236498502	228.96474354344238	337.1329994758832	293.79639960488265
ENSDARG00000078567	2.7425931988109804e-5	0.003918113491257322	0.2735641224432736	8	13700605	13788311	1	protein_coding	lonrf1l	LON peptidase N-terminal domain and ring finger 1, like [Source:ZFIN;Acc:ZDB-GENE-081104-397]	985	1139	1201	881	1138	1290	1346	1432	1054	1139	877	1085.564388149962	1071.8301696063602	1000.2360694851232	884.8039184029633	1045.4211529386453	1185.7191932814872	1336.1543443894448	1368.4188635894936	1218.8325237110519	1203.7444714828557	1060.3269236768808
ENSDARG00000114704	3.0936739902186554e-5	0.004392050292988547	-0.3615705693057458	22	898131	910926	-1	protein_coding	KCTD20	potassium channel tetramerization domain containing 20 [Source:NCBI gene;Acc:570693]	203	223	238	183	239	203	145	156	139	153	135	223.72545258319013	209.84910256559994	198.21497463568636	183.79014423126253	219.5568150723517	186.58991956290072	143.93936102263706	149.07356335192807	160.73787551787117	161.69701855739854	163.22022200271257
ENSDARG00000075812	3.216905060404994e-5	0.004538633443919219	0.9638288741244967	2	12019341	12079718	-1	protein_coding	kcnt2	potassium channel, subfamily T, member 2 [Source:ZFIN;Acc:ZDB-GENE-130530-783]	13	20	28	15	21	38	31	35	43	29	30	14.327245731928432	18.82054731530044	23.319408780668983	15.064765920595288	19.29160299798906	34.928162282710474	30.77324270139137	33.44599177767617	49.724666527111225	30.648454497807567	36.27116044504724
ENSDARG00000037872	3.2748025689408865e-5	0.004586786157181353	0.2770613788954426	3	40901743	40933415	-1	protein_coding	foxk1	forkhead box K1 [Source:ZFIN;Acc:ZDB-GENE-030131-6402]	706	886	1117	941	1017	1269	1074	1073	911	1006	875	778.0796528262672	833.7502460678096	930.2778431431162	945.0629820853444	934.2647737597559	1166.4167878094631	1066.1439568159462	1025.3585479270437	1053.4690978185656	1063.184318096359	1057.9088463138778
ENSDARG00000063475	3.2914203989458975e-5	0.004586786157181353	0.3479007571446197	15	5028608	5074983	1	protein_coding	abcg1	ATP-binding cassette, sub-family G (WHITE), member 1 [Source:ZFIN;Acc:ZDB-GENE-070424-84]	333	412	410	358	443	529	473	557	375	443	373	366.9979099024745	387.7032746951891	341.4627714312244	359.54574663820756	406.9609584813883	486.2367854619432	469.5401225083264	532.2690691475893	433.64534762015603	468.1815635354742	450.9714282000873
ENSDARG00000043492	3.321371852792513e-5	0.0046003025387915805	-1.315084202727335	13	311380	318827	1	protein_coding	irf1a	interferon regulatory factor 1a [Source:ZFIN;Acc:ZDB-GENE-060421-4031]	15	33	23	31	25	11	7	9	11	10	8	16.531437382994344	31.05390307024573	19.155228641263808	31.133849569230264	22.966194045225073	10.110783818679348	6.948796739023858	8.600397885688158	12.720263530191243	10.568432585450886	9.672309452012597
ENSDARG00000002710	3.454604642384994e-5	0.004755839057683341	0.15170204020540357	22	36673312	36690751	-1	protein_coding	ncl	nucleolin [Source:ZFIN;Acc:ZDB-GENE-030131-6986]	7142	8614	9446	7996	8271	9942	8310	9256	7747	8126	7311	7871.168385956374	8106.009728699901	7866.9691193642575	8030.524553405328	7598.1356379222625	9138.310247755462	8249.214414469752	8845.031425547733	8958.534688035597	8587.908318937389	8839.281800458011
ENSDARG00000088539	3.685711050969142e-5	0.0050434293086002455	-0.7042179435834479	10	22123831	22127942	-1	protein_coding	ponzr2	plac8 onzin related protein 2 [Source:ZFIN;Acc:ZDB-GENE-050411-41]	54	107	80	61	85	43	39	52	34	50	42	59.51317457877964	100.68992813685736	66.6268822304828	61.26338141042084	78.08505975376525	39.52397310938291	38.714724688847205	49.69118778397603	39.31717818422748	52.84216292725442	50.779624623066134
ENSDARG00000058302	3.9843133949853824e-5	0.005419381962101375	-0.23012028829899414	14	9405099	9420911	-1	protein_coding	sh3bgrl	SH3 domain binding glutamate-rich protein like [Source:ZFIN;Acc:ZDB-GENE-040426-1376]	660	770	860	672	708	663	598	640	496	550	498	727.3832448517512	724.5910716390671	716.2389839776902	674.9015132426689	650.402615360774	609.4045156167643	593.6257785623238	611.5838496489357	573.5682464522597	581.2637921997987	602.1012633877841
ENSDARG00000037409	4.078576836359175e-5	0.005485593630843887	-0.43509947311427727	1	21313165	21321482	-1	protein_coding	tmem144a	transmembrane protein 144a [Source:ZFIN;Acc:ZDB-GENE-040822-12]	136	151	201	170	141	117	92	114	100	123	102	149.88503227248205	142.09513223051835	167.40004160408805	170.7340137667466	129.5293344150694	107.54197334413489	91.32704285574214	108.93837321871668	115.63875936537494	129.9917208010459	123.32194551316061
ENSDARG00000067567	4.081291321208967e-5	0.005485593630843887	0.7969860746196954	25	1695547	1720736	-1	protein_coding	SLC6A13	solute carrier family 6 member 13 [Source:NCBI gene;Acc:100332592]	78	108	85	107	104	138	189	157	106	177	155	85.96347439157059	101.63095550262238	70.79106236988798	107.46199690024639	95.5393672281363	126.8443788161591	187.61751195364417	150.02916311700454	122.57708492729743	187.06125676248067	187.40099563274407
ENSDARG00000018491	4.297765202299173e-5	0.0057425727394250425	-0.3913988388917635	24	17334678	17341458	1	protein_coding	pdia4	protein disulfide isomerase family A, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5493]	389	420	483	399	469	329	272	295	308	331	269	428.71527613232	395.2314936213093	402.25980146653995	400.7227734878347	430.84580028842237	302.404352395046	270.01038757349846	281.9019306975563	356.1673788453548	349.8151185784243	325.2314053239236
ENSDARG00000103979	4.34319300869308e-5	0.00576933504049493	-0.26874237588491784	22	4762478	4769140	-1	protein_coding	calr3a	calreticulin 3a [Source:ZFIN;Acc:ZDB-GENE-000208-17]	953	1131	1298	1076	1185	873	889	884	873	847	758	1050.2973217329074	1064.30195068024	1081.0211641895835	1080.645875370702	1088.5975977436683	802.4285703370065	882.49718585603	844.7501923275925	1009.5263692597232	895.1462399876899	916.4513205781935
ENSDARG00000040004	4.421492033915935e-5	0.005839197183162818	-0.926036884462603	19	22930177	22997652	1	protein_coding	PKHD1L1	si:ch211-244a23.1 [Source:ZFIN;Acc:ZDB-GENE-060503-789]	37	93	50	63	43	35	27	28	15	31	30	40.77754554471938	87.51554501614706	41.641801394051754	63.272016866500216	39.501853757787124	32.170675786707015	26.802501707663453	26.756793422140937	17.345813904806242	32.76214101489774	36.27116044504724
ENSDARG00000013950	4.5974675392611945e-5	0.006036501454006822	-0.5866165164898905	18	14688643	14691727	-1	protein_coding	pdf	peptide deformylase, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-050913-42]	76	81	75	64	75	54	43	55	38	48	35	83.75928274050467	76.22321662696679	62.46270209107763	64.2763345945399	68.89858213567521	49.63475692806226	42.68546568257513	52.55798707920541	43.942728558842475	50.72847641016425	42.31635385255511
ENSDARG00000099717	4.810136860359949e-5	0.006279440159946911	-0.9780969797181905	21	2091895	2101392	1	protein_coding	si:rp71-1h20.9	si:rp71-1h20.9 [Source:ZFIN;Acc:ZDB-GENE-131127-386]	19	25	42	29	33	16	11	11	21	16	7	20.93982068512617	23.525684144125552	34.979113171003476	29.125214113150893	30.315376139697094	14.70659464535178	10.919537732751778	10.511597415841083	24.284139466728735	16.909492136721415	8.463270770511022
ENSDARG00000103658	4.988166564826494e-5	0.00647464020114479	0.23623142762542346	19	3383025	3488860	-1	protein_coding	hivep1	HIVEP zinc finger 1 [Source:ZFIN;Acc:ZDB-GENE-070912-512]	768	951	994	968	941	1129	1122	1124	840	982	815	846.4095940093105	894.9170248425361	827.8390117137488	972.179560742416	864.4475438622717	1037.734084662635	1113.7928487406812	1074.0941359459434	971.3655786691495	1037.820079891277	985.3665254237833
ENSDARG00000055854	5.057275105677763e-5	0.006527045683265363	0.4606999175583236	16	27345383	27369782	1	protein_coding	nr4a3	nuclear receptor subfamily 4, group A, member 3 [Source:ZFIN;Acc:ZDB-GENE-070824-4]	341	406	499	359	321	412	560	637	451	353	484	375.8146765067381	382.057110500599	415.5851779126365	360.5500643662472	294.8859315406899	378.69481211780834	555.9037391219086	608.7170503537063	521.530804737841	373.06567026641625	585.174721846762
ENSDARG00000015506	5.133237915616373e-5	0.0065661515742142604	0.29071998481698746	1	34593490	34685007	-1	protein_coding	pibf1	progesterone immunomodulatory binding factor 1 [Source:ZFIN;Acc:ZDB-GENE-040801-94]	540	545	685	579	713	800	711	796	555	703	569	595.1317457877964	512.859914341937	570.492679098509	581.4999645349782	654.995854169819	735.329732267589	705.7992116351376	760.6574130008638	641.7951144778309	742.9608107571972	687.9430097743959
ENSDARG00000045143	5.145388422672852e-5	0.0065661515742142604	0.3709373466386281	12	20349865	20350629	-1	protein_coding	hbbe2	hemoglobin beta embryonic-2 [Source:ZFIN;Acc:ZDB-GENE-040702-1]	1664	1440	2151	1440	1723	1985	1980	2193	1889	2162	1717	1833.8874536868393	1355.0794067016318	1791.4302959721065	1446.2175283771478	1582.8300935969119	1824.536898188955	1965.5167918953198	2095.630284812681	2184.4161644119326	2284.8951249744814	2075.9194161382034
ENSDARG00000099923	5.26544022688818e-5	0.006681814232053911	-0.335682689991147	14	48862987	48921546	1	protein_coding	zgc:154054	zgc:154054 [Source:ZFIN;Acc:ZDB-GENE-061103-283]	310	376	509	382	416	354	297	265	263	292	257	341.64970591521643	353.8262895276483	423.91353819144683	383.64937211116	382.1574689125452	325.3834065284081	294.827518784298	253.23393774526244	304.12993713093607	308.5982314951658	310.72294114590466
ENSDARG00000074390	5.371883165104766e-5	0.0067790181164085975	-0.48429684584399996	16	46649469	46664465	-1	protein_coding	tmem176l.4	transmembrane protein 176l.4 [Source:ZFIN;Acc:ZDB-GENE-030131-3532]	1171	1353	1737	1582	1343	945	867	762	1067	1058	874	1290.5542116990919	1273.210025880075	1446.6361804293579	1588.830645758783	1233.743944109491	868.6082462410894	860.6581103905264	728.1670209882641	1233.8655624285507	1118.1401675407037	1056.6998076323762
ENSDARG00000091860	5.4958497744164954e-5	0.00689713964783816	-0.9706502669102427	8	42712747	42724810	1	protein_coding	zgc:194007	zgc:194007 [Source:ZFIN;Acc:ZDB-GENE-081022-49]	59	46	72	87	95	34	21	18	48	37	40	65.02365370644442	43.28725882519102	59.96419400743453	87.37564233945268	87.27153737185527	31.25151362137253	20.846390217071573	17.200795771376317	55.50660449537997	39.103200566168276	48.361547260062984
ENSDARG00000044356	5.6714356180997924e-5	0.007078387915666856	0.3275316467446981	6	28795780	28914225	1	protein_coding	tp63	tumor protein p63 [Source:ZFIN;Acc:ZDB-GENE-030819-1]	431	583	750	513	544	633	672	687	595	740	532	475.00330080470417	548.6189542410079	624.6270209107763	515.2149944843588	499.7443824240976	581.8296506567298	667.0844869462903	656.4970386075295	688.0506182239809	782.0640113233654	643.2085785588376
ENSDARG00000020581	5.89660905692342e-5	0.0072894998383965254	0.29754504584801394	17	50313650	50374005	-1	protein_coding	otofb	otoferlin b [Source:ZFIN;Acc:ZDB-GENE-110406-5]	477	536	648	561	592	728	667	635	576	656	539	525.6997087792201	504.3906680500519	539.6777460669107	563.4222454302638	543.8394749909297	669.150056363506	662.1210607041305	606.8058508235534	666.0792539445597	693.2891776055781	651.6718493293487
